# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	6296
#@/user_id	f9354129-e4a8-46a3-a49d-309797c018cb
a 	啊	c=29 d=2.32019 t=6251
zhan shi de 	展示的	c=1 d=1 t=4615
zhan wei 	佔位	c=1 d=1 t=1497
zhang 	張	c=0 d=0.1 t=4800
zhang de 	長得	c=1 d=1 t=6013
zhang hui lai 	漲回來	c=1 d=1 t=3060
zhang jie 	章節	c=1 d=1 t=5898
zhao 	找	c=4 d=1.00742 t=6347
zhao bu da 	找不打	c=1 d=1 t=4168
zhao bu dao 	找不到	c=2 d=1 t=5590
zhao bu dao le 	找不到了	c=1 d=1 t=63
zhao chu 	找出	c=3 d=1 t=5776
zhao chu lai 	找出來	c=0 d=0.1 t=3157
zhao chu lai de 	找出來的	c=1 d=1 t=3158
zhao dao 	找到	c=1 d=1 t=3000
zhao de 	找的	c=1 d=0.115071 t=6216
zhao de shi 	找的是	c=1 d=1 t=178
zhao de yi ge 	找的一個	c=1 d=1 t=6217
zhao ge 	找個	c=1 d=1 t=6207
zhao ge ren 	找個人	c=1 d=1 t=3834
zhao guo 	找過	c=0 d=0.1 t=3997
zhao guo wo le 	找過我了	c=1 d=1 t=3998
zhao hu 	招呼	c=0 d=0.1 t=2607
zhao ji 	着急	c=1 d=1 t=4737
zhao ni 	找你	c=1 d=1 t=3407
zhao ni 	照你	c=1 d=1 t=4301
zhao ren 	找人	c=1 d=1 t=2627
zhao ta 	找他	c=1 d=0.100029 t=6188
zhao xiong ge 	找雄哥	c=1 d=1 t=6111
zhao yang 	照樣	c=1 d=1 t=6069
zhe 	折	c=1 d=1 t=4908
zhe 	着	c=2 d=1.01699 t=5338
zhe 	這	c=9 d=1.44232 t=6041
zhe bian 	這邊	c=4 d=1.97574 t=5578
zhe bu fen 	這部分	c=1 d=1 t=668
zhe bu shi 	這不是	c=1 d=1 t=4800
zhe cheng du 	這程度	c=1 d=1 t=3742
zhe ci 	這次	c=6 d=2.19384 t=4807
zhe dang 	遮擋	c=1 d=1 t=896
zhe dao zhi 	這導致	c=2 d=1.00004 t=2097
zhe die 	摺疊	c=11 d=1.26073 t=5672
zhe die shi 	摺疊時	c=1 d=1 t=1437
zhe dong xi 	這東西	c=2 d=1.9802 t=1663
zhe ge 	這個	c=98 d=4.88436 t=6221
zhe ge ba 	這個吧	c=1 d=1 t=1584
zhe ge dao shi 	這個倒是	c=1 d=1 t=153
zhe ge dian 	這個點	c=2 d=1.0001 t=4521
zhe ge dong xi 	這個東西	c=1 d=1 t=535
zhe ge le 	這個了	c=1 d=1 t=2619
zhe ge le ya 	這個了呀	c=1 d=1 t=934
zhe ge lei xing 	這個類型	c=1 d=1 t=306
zhe ge ren 	這個人	c=1 d=1 t=4057
zhe ge tu 	這個圖	c=1 d=1 t=4604
zhe ge wen ti 	這個問題	c=1 d=1 t=93
zhe ge you ma 	這個有嗎	c=1 d=1 t=166
zhe ge yuan yin 	這個原因	c=1 d=1 t=1892
zhe ge zhi hou 	這個之後	c=1 d=1 t=3776
zhe ge zuo fa 	這個做法	c=1 d=1 t=194
zhe hang 	這行	c=1 d=1 t=4825
zhe he li 	這合理	c=1 d=1 t=5519
zhe hui er 	這會兒	c=1 d=1 t=4343
zhe ji ge ren 	這幾個人	c=0 d=0.1 t=4030
zhe ji ge ren guan 	這幾個人管	c=1 d=1 t=4031
zhe ji tian 	這幾天	c=0 d=0.1 t=3231
zhe jiu shi 	這就是	c=1 d=1 t=1119
zhe kuai 	這塊	c=3 d=1.90501 t=5898
zhe kuai de 	這塊的	c=1 d=1 t=3738
zhe li 	這裏	c=8 d=1.06909 t=6344
zhe li ba 	這裏吧	c=1 d=1 t=4019
zhe li de 	這裏的	c=1 d=1 t=1417
zhe li de ren 	這裏的人	c=1 d=1 t=2042
zhe li mian 	這裏面	c=4 d=1.75052 t=5511
zhe li shi 	這裏是	c=1 d=1 t=26
zhe liang ci 	這兩次	c=1 d=1 t=423
zhe liang ge 	這兩個	c=4 d=2.00425 t=5441
zhe liang zhong 	這兩種	c=1 d=1 t=5302
zhe lie 	這列	c=1 d=1 t=2286
zhe me 	這麼	c=2 d=1.00002 t=5676
zhe me duo 	這麼多	c=1 d=1 t=4135
zhe me gao 	這麼搞	c=1 d=1 t=5844
zhe me kan 	這麼看	c=1 d=1 t=3924
zhe me shuo 	這麼說	c=0 d=0.1 t=5370
zhe ming zi 	這名字	c=1 d=1 t=1688
zhe ne 	着呢	c=0 d=0.1 t=2516
zhe qing kuang 	這情況	c=1 d=1 t=2425
zhe san ge 	這三個	c=3 d=1.69074 t=4862
zhe san ge a 	這三個啊	c=1 d=1 t=2509
zhe san ge li 	這三個裏	c=1 d=1 t=1319
zhe shang mian 	這上面	c=1 d=1 t=5177
zhe shi 	這是	c=11 d=2.98236 t=5790
zhe shi bu shi 	這是不是	c=3 d=1.97045 t=3771
zhe shi ge 	這是個	c=1 d=1 t=5986
zhe shi yi ge 	這是一個	c=1 d=1 t=3171
zhe shu yu 	這屬於	c=1 d=1 t=4825
zhe tiao 	這條	c=0 d=0.100078 t=4989
zhe tiao shi 	這條是	c=1 d=1 t=4990
zhe wen jian 	這文件	c=1 d=1 t=5857
zhe wen ti 	這問題	c=1 d=1 t=2186
zhe wo 	這我	c=0 d=0.100009 t=1939
zhe wo jiu bu zhi dao 	這我就不知道	c=1 d=1 t=1940
zhe wo ye bi jiao 	這我也比較	c=1 d=1 t=3645
zhe wo you 	這我又	c=2 d=1.8781 t=102
zhe xie 	這些	c=7 d=2.56359 t=5734
zhe xie zhi 	這些值	c=1 d=1 t=3389
zhe xie zu jian 	這些組件	c=1 d=1 t=432
zhe yang 	這樣	c=13 d=1.03283 t=6218
zhe yang ba 	這樣吧	c=0 d=0.1 t=2413
zhe ye shi 	這也是	c=1 d=1 t=5811
zhe yi 	這一	c=0 d=0.1 t=1249
zhe yi bu 	這一步	c=3 d=1.94443 t=3699
zhe yi lie 	這一列	c=1 d=1 t=1250
zhe zhang 	這張	c=1 d=1 t=4132
zhe zhong 	這種	c=6 d=1.7323 t=5868
zhe zhong shi 	這種事	c=0 d=0.1 t=3279
zhe zhong shi ba 	這種事吧	c=1 d=1 t=3280
zhe zhou 	這週	c=3 d=1 t=4612
zhen 	真	c=0 d=0.1 t=6276
zhen de 	真的	c=3 d=1.99501 t=6137
zhen de ma 	真的嗎	c=1 d=1 t=1867
zhen dui 	針對	c=3 d=1.00044 t=4841
zhen hai hao 	真還好	c=1 d=1 t=6277
zhen mei 	真沒	c=1 d=1 t=6004
zhen wang 	陣亡	c=1 d=1 t=4363
zhen zheng 	真正	c=1 d=1 t=6227
zheng 	整	c=0 d=0.1 t=3216
zheng 	正	c=1 d=1 t=4586
zheng bu liao 	整不了	c=1 d=1 t=3217
zheng chang 	正常	c=1 d=1 t=3783
zheng chang de ma 	正常的嗎	c=1 d=1 t=804
zheng chang ren 	正常人	c=0 d=0.1 t=6080
zheng fa 	政法	c=1 d=1 t=5834
zheng ge 	整個	c=5 d=1.00002 t=4323
zheng he 	正頜	c=5 d=4.20611 t=6167
zheng ji 	正畸	c=1 d=1.0802 t=6258
zheng ji yi yuan 	正畸醫院	c=1 d=1 t=6259
zheng le 	整了	c=1 d=1 t=5999
zheng li 	整理	c=0 d=0.1 t=3682
zheng li le 	整理了	c=1 d=1 t=3683
zheng que 	正確	c=0 d=0.1 t=5656
zheng que de 	正確的	c=1 d=1 t=321
zheng que dui qi 	正確對齊	c=1 d=1 t=5657
zheng shi 	正式	c=1 d=0.222456 t=5916
zheng shi zai 	正式在	c=1 d=1 t=5917
zheng shu 	整數	c=0 d=0.1 t=2170
zheng shu 	證書	c=3 d=1.01351 t=3470
zheng shu bei 	整數倍	c=1 d=1 t=2171
zheng ti 	整體	c=2 d=1 t=3979
zheng ze 	正則	c=1 d=1 t=3065
zhi 	值	c=12 d=1.00013 t=6019
zhi 	只	c=3 d=0.100751 t=5739
zhi 	指	c=2 d=1.91393 t=3431
zhi 	支	c=1 d=1 t=5876
zhi 	直	c=1 d=1 t=5093
zhi biao 	指標	c=1 d=1 t=3448
zhi bu guo 	只不過	c=2 d=1.85642 t=3349
zhi cha zhao 	只查找	c=1 d=1 t=5740
zhi chi zhe 	支持者	c=1 d=1 t=6240
zhi chu 	指出	c=1 d=1 t=1833
zhi dao 	知道	c=3 d=1 t=5945
zhi dao de 	知道的	c=1 d=1 t=4105
zhi dao le 	知道了	c=0 d=0.1 t=5407
zhi ding 	制定	c=1 d=1 t=50
zhi ding 	指定	c=0 d=0.1 t=4367
zhi gao ding 	只搞定	c=1 d=1 t=4254
zhi guan de 	直觀的	c=0 d=0.1 t=4289
zhi guan le 	只關了	c=1 d=1 t=350
zhi he bing 	只合併	c=1 d=1 t=2378
zhi hou 	之後	c=1 d=1 t=5371
zhi hui 	只會	c=2 d=1.0147 t=5887
zhi jian 	之間	c=6 d=1.18556 t=6305
zhi jie 	直接	c=23 d=1.45743 t=6255
zhi jie shi yong 	直接使用	c=1 d=1 t=4585
zhi jie yun xing 	直接運行	c=1 d=1 t=404
zhi la 	只拉	c=1 d=1 t=6145
zhi lei de 	之類的	c=1 d=1 t=5209
zhi ming du 	知名度	c=1 d=1 t=4661
zhi neng 	只能	c=6 d=1.01312 t=6345
zhi neng jie yue 	只能節約	c=1 d=1 t=3263
zhi qian 	之前	c=17 d=2.12316 t=6125
zhi qian bu shi shuo 	之前不是說	c=1 d=1 t=5003
zhi qian de 	之前的	c=2 d=1.00008 t=4632
zhi shao 	至少	c=4 d=1.39653 t=5867
zhi shi 	只是	c=5 d=1 t=4715
zhi shi 	知識	c=1 d=1 t=3114
zhi ti le 	只提了	c=1 d=1 t=555
zhi wai de 	之外的	c=1 d=1 t=2670
zhi xian shi 	只顯示	c=2 d=1.00015 t=4643
zhi xiang 	指向	c=2 d=0.15054 t=5699
zhi xie 	只寫	c=0 d=0.1 t=1894
zhi xie le 	只寫了	c=1 d=1 t=1895
zhi xu yao 	只需要	c=3 d=1.17871 t=3774
zhi yao 	只要	c=4 d=1.00048 t=5929
zhi yong 	只用	c=1 d=1.06126 t=1978
zhi yong le 	只用了	c=1 d=1 t=1881
zhi you 	只有	c=14 d=2.12411 t=5525
zhi you yi feng 	只有一封	c=1 d=1 t=5873
zhi you yi ge 	只有一個	c=1 d=1 t=4410
zhi zai 	只在	c=1 d=1 t=5225
zhi zhan shi 	只展示	c=1 d=1 t=4889
zhong 	中	c=68 d=1.48174 t=5928
zhong 	鍾	c=1 d=1 t=2045
zhong de 	中的	c=5 d=0.584441 t=6020
zhong dian 	中點	c=1 d=1 t=4142
zhong dian shi 	重點是	c=2 d=1.00009 t=2002
zhong dong 	中東	c=1 d=1 t=6040
zhong guo de 	中國的	c=1 d=1 t=3295
zhong guo qu 	中國區	c=1 d=1 t=1762
zhong guo ren 	中國人	c=1 d=1 t=4110
zhong jian 	中間	c=3 d=1.00027 t=6386
zhong meng 	中盟	c=1 d=1 t=1632
zhong shen 	終身	c=0 d=0.1 t=6062
zhong shen pei dai 	終身佩戴	c=1 d=1 t=6063
zhong tu 	中途	c=0 d=0.1 t=120
zhong tu ting xia 	中途停下	c=1 d=1 t=121
zhong wen 	中文	c=4 d=1.89635 t=2941
zhong wen hui da 	中文回答	c=1 d=1 t=237
zhong wu 	中午	c=1 d=1 t=3252
zhong yao 	重要	c=0 d=0.100026 t=3551
zhong yi 	中意	c=1 d=1 t=2251
zhong zhou 	中軸	c=0 d=0.1 t=5662
zhong zhou shang 	中軸上	c=1 d=1 t=5663
zhou er 	週二	c=1 d=1 t=6286
zhou liu 	週六	c=1 d=1 t=3864
zhou nian 	週年	c=1 d=1 t=3589
zhou san 	週三	c=1 d=1 t=158
zhou yi 	週一	c=1 d=1 t=5489
zhu 	住	c=0 d=0.1 t=4649
zhu ce 	註冊	c=1 d=1 t=5376
zhu ti 	主題	c=1 d=1 t=3968
zhu wo 	著我	c=0 d=0.1 t=73
zhu yao 	主要	c=2 d=1 t=5978
zhu yao shi 	主要是	c=2 d=1 t=4727
zhu ye 	主頁	c=1 d=1 t=1304
zhu yi 	注意	c=5 d=1.33739 t=6022
zhu yi dao 	注意到	c=0 d=0.1 t=2079
zhua zhu 	抓住	c=1 d=1 t=4874
zhuan 	轉	c=1 d=1 t=6375
zhuan fa 	轉發	c=0 d=0.194649 t=4022
zhuan fa yi xia 	轉發一下	c=1 d=1 t=4023
zhuan huan 	轉換	c=1 d=1 t=1714
zhuan huan 	轉環	c=1 d=1 t=1713
zhuan men 	專門	c=4 d=1.98122 t=6257
zhuan qian 	賺錢	c=1 d=1 t=6202
zhuan ye 	專業	c=1 d=1 t=5157
zhuan zhuan 	轉轉	c=0 d=0.1 t=3331
zhuan zhuan ba 	轉轉吧	c=1 d=1 t=3332
zhuang 	裝	c=1 d=1.06561 t=4999
zhuang bi 	裝逼	c=1 d=1 t=4675
zhuang kuang 	狀況	c=1 d=1 t=6123
zhuang tai 	狀態	c=4 d=1.01272 t=5303
zhuang tai guan li 	狀態管理	c=1 d=1 t=461
zhuang yi ge 	裝一個	c=1 d=1 t=5000
zhui jia 	追加	c=2 d=1.00008 t=6364
zhun 	準	c=0 d=0.1 t=6307
zhun bei 	準備	c=2 d=1 t=3754
zi 	子	c=1 d=0.120919 t=2750
zi 	字	c=0 d=0.100029 t=5959
zi biao ge 	子表格	c=1 d=1 t=2751
zi dai 	自帶	c=1 d=1 t=432
zi dian 	字典	c=1 d=1 t=3444
zi ding yi 	自定義	c=1 d=1 t=5652
zi duan 	字段	c=2 d=1.00002 t=2231
zi fu chuan 	字符串	c=4 d=1.00009 t=4487
zi ji 	子集	c=1 d=1 t=4064
zi ji 	自己	c=8 d=1.59579 t=6204
zi ji qu 	自己去	c=0 d=0.1 t=4814
zi ji qu kan 	自己去看	c=1 d=1 t=3227
zi ji qu xiu le 	自己去修了	c=1 d=1 t=4815
zi lu jing 	子路徑	c=3 d=2.82358 t=1994
zi shen de 	自身的	c=1 d=1 t=4844
zi tai duo 	字太多	c=1 d=1 t=5960
zi ti 	字體	c=1 d=1.08511 t=3857
zi ti da xiao 	字體大小	c=1 d=1 t=3858
zi xiang 	子項	c=3 d=1.0802 t=4215
zi xiang mu 	子項目	c=1 d=1 t=1421
zi xiang zhong 	子項中	c=1 d=1 t=4216
zi yuan 	子元	c=1 d=1 t=1563
zi yuan 	資源	c=6 d=1.00001 t=5673
zi yuan de 	資源的	c=1 d=1 t=3814
zi yue xiao 	字越小	c=1 d=1 t=4329
zi zi yuan 	子資源	c=3 d=2.9459 t=1990
zi zu jian 	子組件	c=6 d=5.31559 t=382
zong 	棕	c=1 d=1 t=6061
zong 	總	c=6 d=1.7637 t=5901
zong gan jiao 	總感覺	c=1 d=1 t=5134
zong gong 	總共	c=2 d=1 t=4986
zong he 	綜合	c=1 d=1 t=5584
zong jie 	總結	c=0 d=0.196079 t=1236
zong jie yi xia 	總結以下	c=1 d=1 t=1237
zong se 	棕色	c=3 d=1.03682 t=5577
zong shi 	總是	c=0 d=0.1 t=462
zong shi ba 	總是把	c=1 d=1 t=463
zong shi neng 	總使能	c=1 d=1 t=3505
zou 	走	c=6 d=2.00689 t=4448
zou de 	走的	c=1 d=1 t=135
zou tong 	走通	c=1 d=1 t=3165
zu 	租	c=1 d=1 t=1870
zu 	組	c=4 d=1 t=5937
zu cheng 	組成	c=2 d=1.00878 t=3167
zu fang 	租方	c=1 d=1 t=6211
zu ge 	租個	c=2 d=1 t=6225
zu gou 	足夠	c=1 d=1 t=5671
zu he 	組合	c=2 d=1.03725 t=2865
zu jian 	組件	c=19 d=1.92038 t=5861
zu jian 	組建	c=1 d=1 t=13
zu jian shi 	組件時	c=1 d=1 t=294
zu le 	組了	c=1 d=1 t=3027
zu nei 	組內	c=0 d=0.1 t=5891
zu nei fen xiang 	組內分享	c=1 d=1 t=5892
zu zhi 	組織	c=1 d=1 t=3163
zui 	嘴	c=0 d=0.1 t=1883
zui 	最	c=0 d=0.100015 t=5967
zui chang 	最長	c=1 d=1 t=3991
zui da de 	最大的	c=1 d=1 t=3226
zui hao 	最好	c=1 d=1.02176 t=5343
zui hou 	最後	c=2 d=1.00002 t=3797
zui hou mian 	最後面	c=1 d=1 t=2564
zui hou yi ge 	最後一個	c=1 d=1 t=4370
zui ji chu 	最基礎	c=1 d=1 t=5968
zui jia 	最佳	c=1 d=1 t=5733
zui jin 	最近	c=6 d=1.01401 t=6283
zui li ceng 	最裏層	c=2 d=1.92312 t=1484
zui shang fang 	最上方	c=3 d=2.73977 t=2778
zui shang mian 	最上面	c=2 d=1 t=5694
zui wai ceng 	最外層	c=1 d=1 t=4203
zui wai ceng de 	最外層的	c=1 d=1 t=3008
zui xia mian 	最下面	c=1 d=1 t=2785
zui xin 	最新	c=7 d=4.06087 t=5717
zui xin de 	最新的	c=3 d=1.00002 t=5228
zui you ya 	最優雅	c=1 d=1 t=1545
zui zhong 	最終	c=2 d=1 t=5638
zun xun 	遵循	c=2 d=1.86071 t=1992
zuo 	做	c=4 d=0.346712 t=6235
zuo bian 	左邊	c=3 d=1.55477 t=5438
zuo bian de 	左邊的	c=1 d=1 t=5683
zuo bu liao 	做不了	c=2 d=1.00002 t=3088
zuo ce 	左側	c=2 d=1.00021 t=4493
zuo chu 	做出	c=1 d=1 t=5528
zuo de 	做的	c=2 d=0.100016 t=6064
zuo de ba 	做的吧	c=1 d=1 t=3421
zuo de shi 	做的事	c=0 d=0.1 t=1878
zuo fa 	做法	c=1 d=1 t=2640
zuo ge 	做個	c=1 d=1 t=1302
zuo guo 	做過	c=0 d=0.1 t=5237
zuo hao 	做好	c=1 d=1 t=4179
zuo hao le 	做好了	c=1 d=1 t=732
zuo ji lu 	做記錄	c=1 d=1 t=4155
zuo le 	做了	c=4 d=0.415112 t=6112
zuo le ma fan 	做了麻煩	c=1 d=1 t=6113
zuo le sha 	做了啥	c=1 d=1 t=1878
zuo le shen me 	做了什麼	c=1 d=1 t=27
zuo she me 	做什麼	c=1 d=1 t=2742
zuo shen me 	做什麼	c=4 d=1.00005 t=5753
zuo tian 	昨天	c=12 d=2.27408 t=6016
zuo wan 	做完	c=1 d=1 t=799
zuo wei 	作爲	c=5 d=2.07025 t=5587
zuo xiu gai 	做修改	c=1 d=1 t=2123
zuo yi 	左移	c=0 d=0.1 t=1489
zuo yi ci 	做一次	c=1 d=1 t=3428
zuo yi fen 	做一份	c=1 d=1 t=5889
zuo yi le 	左移了	c=1 d=1 t=1490
zuo yong 	作用	c=2 d=1 t=3512
zuo you 	左右	c=2 d=1.53526 t=5190
zuo zhe ge 	做這個	c=1 d=1 t=136
